,Name,Album,Artist
0,Sick Thoughts,Sick Thoughts,Lewis Blissett
1,Mo Bamba,MUDBOY,Sheck Wes
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X
3,Foot Fungus,STOKELEY,Ski Mask The Slump God
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic
5,Rasputin,Rasputin,Majestic
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf
7,Whoopty,Whoopty,CJ
8,Streets,Hot Pink,Doja Cat
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott
10,Paparazzi,Paparazzi,Kim Dracula
11,hot girl bummer,hot girl bummer,blackbear
12,Runnin Low,Runnin Low,Kieran Alleyne
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromi
