,Name,Album,Artist
0,Leave The Door Open,Leave The Door Open,Bruno Mars
1,Dynamite,Dynamite (DayTime Version),BTS
2,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa
3,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
4,Perfect,÷ (Deluxe),Ed Sheeran
5,GIRL LIKE ME,GIRL LIKE ME,Black Eyed Peas
6,We Need Love - Cabu Remix,We Need Love (Cabu Remix),Cabu
7,Dance Monkey,Dance Monkey,Tones And I
8,Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson
9,Sugar,V (Deluxe),Maroon 5
10,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),Maroon 5
11,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK
12,Useless,Useless,Two Friends
13,Roar,PRISM (Deluxe),Katy Perry
