,Name,Album,Artist
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
1,Jocelyn Flores,17,XXXTENTACION
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
3,how to live,how to live,yaeow
4,It's You,YOU,Ali Gatie
5,Loosing Interest,Passion & Confusion,Timmies
6,Tell Me Goodbye,Tell Me Goodbye,ORYL
7,Dead and Cold,Dead and Cold,ELIJAH MOON
8,Heather,Kid Krow,Conan Gray
9,Reckless,Reckless,Madison Beer
10,paradise,paradise,cliffe
11,Me Too,Me Too,April Jai
12,Six Feet Under,Six Feet Under,Billie Eilish
13,Circles,Hollywood's Bleeding,Post Malone
