,Name,Album,Artist
0,good 4 u,SOUR,Olivia Rodrigo
1,Todo De Ti,Todo De Ti,Rauw Alejandro
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X
3,Yonaguni,Yonaguni,Bad Bunny
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat
5,Beggin',Chosen,Måneskin
6,deja vu,SOUR,Olivia Rodrigo
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin
